id,name,lat,lon,country,admin_level
mopti,Mopti,14.49,-4.19,Mali,region
gao,Gao,16.27,-0.04,Mali,region
timbuktu,Timbuktu,16.77,-3.00,Mali,region
kidal,Kidal,18.44,1.41,Mali,region
segou,Segou,13.45,-6.27,Mali,region
kayes,Kayes,14.45,-11.44,Mali,region
sikasso,Sikasso,11.32,-5.67,Mali,region
bamako,Bamako,12.65,-8.00,Mali,capital
niamey,Niamey,13.51,2.11,Niger,capital
agadez,Agadez,16.97,7.99,Niger,region
zinder,Zinder,13.80,8.99,Niger,region
diffa,Diffa,13.31,12.61,Niger,region
tahoua,Tahoua,14.89,5.26,Niger,region
maradi,Maradi,13.50,7.10,Niger,region
ouagadougou,Ouagadougou,12.36,-1.53,Burkina Faso,capital
dori,Dori,14.03,-0.03,Burkina Faso,region
djibo,Djibo,14.10,-1.63,Burkina Faso,region
kaya,Kaya,13.10,-1.08,Burkina Faso,region
dedougou,Dedougou,12.46,-3.46,Burkina Faso,region
ndjamena,N'Djamena,12.11,15.04,Chad,capital
abeche,Abeche,13.83,20.83,Chad,region
mao,Mao,14.12,15.31,Chad,region
bol,Bol,13.46,14.72,Chad,region
nouakchott,Nouakchott,18.08,-15.97,Mauritania,capital
kiffa,Kiffa,16.62,-11.40,Mauritania,region
